R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
58,80,47,58,70,47,250,0,0,0,0,0,2147483648,10000000,0.000100,0.003000,50,0,0,0,0,0,0,0,0,0.995,0,0,0,0,0,0
sysTickMs,PIDRefXi,PIDRefYi,PIDSensXi,PIDSensYi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDUXi,PIDRefDotPT1Xi,PIDiRelaxWeightX
14121,0,-9216,7168,-4096,-1624,-665,195,-2484,0,1024
14126,0,-9216,6144,-5120,-1392,-689,2237,-5014,0,1024
14131,0,-9216,10240,-7168,-2320,-728,1675,-4723,0,1024
14136,0,-9216,8192,-8192,-1856,-759,68,-2683,0,1024
14141,0,-9216,6144,-7168,-1392,-782,-666,-578,0,1024
14146,0,-9216,6144,-6144,-1392,-810,-482,-1720,0,1024
14151,0,-9216,15360,-14336,-3480,-835,6437,-10752,0,1024
14156,0,-9216,19456,-23552,-3248,-887,3212,-7347,0,1024
14161,0,-9216,26624,-24576,-6032,-962,9076,-16070,0,1024
14166,0,-9216,-8192,7168,1856,-967,-14309,15198,0,4096
14171,0,-9216,-21504,27648,4872,-773,-15721,19820,0,4096
14176,0,-9216,8192,8192,-1856,-675,7791,-10322,0,1024
14181,0,-9216,25600,4096,-5800,-731,14951,-21482,0,1024
14186,0,-9216,-2048,9216,464,-748,-5944,5660,0,4096
14191,0,-9216,-11264,16384,2552,-588,-7011,8975,0,4096
14196,0,-9216,11264,-12288,-2552,-586,7366,-10504,0,1024
14201,0,-9216,17408,-20480,-3944,-658,5771,-10373,0,1024
14206,0,-9216,16384,-6144,-3712,-627,7160,-11499,0,1024
14211,0,-9216,-7168,-1024,1624,-562,-7861,8923,0,4096
14216,0,-9216,7168,-24576,-1624,-542,1686,-3852,0,1024
14221,0,-9216,11264,-14336,-2552,-646,-2169,-1029,0,1024
14226,0,-9216,-23552,13312,5336,-613,-24258,28981,0,4096
14231,0,-9216,-15360,1024,3480,-353,-9283,12410,0,4096
14236,0,-9216,27648,-9216,-6264,-405,17315,-23984,0,1024
14241,0,-9216,44032,-1024,-9976,-477,23729,-34182,0,1024
14246,0,-9216,-4096,-2048,928,-424,-8297,8801,0,4096
14251,0,-9216,-4096,13312,928,-290,-3156,3794,0,4096
14256,0,-9216,12288,-18432,-2784,-331,-1400,373,0,1024
14261,0,-9216,24576,-7168,-5568,-377,11876,-17821,0,1024
14266,0,-9216,15360,-15360,-3480,-332,6448,-10260,0,1024
14271,0,-9216,28672,-24576,-6496,-309,11646,-16836,0,1024
14276,0,-9216,9216,-17408,-2088,-350,447,-2885,0,1024
14281,0,-9216,15360,1024,-3480,-394,3912,-7786,0,1024
14286,0,-9216,11264,-8192,-2552,-470,-2112,-910,0,1024
14291,0,-9216,14336,-1024,-3248,-522,585,-4355,0,1024
14296,0,-9216,7168,1024,-1624,-541,-2686,521,0,1024
14301,0,-9216,36864,-9216,-8352,-591,17406,-26349,0,1024
14306,0,-9216,19456,-9216,-4408,-655,3166,-8229,0,1024
14311,0,-9216,43008,4096,-9744,-765,16098,-26607,0,1024
14316,0,-9216,45056,1024,-7656,-892,6379,-14927,0,1024
14321,0,-9216,3072,-6144,-696,-938,-11980,10346,0,1024
14326,0,-9216,31744,-8192,-7192,-961,12828,-20981,0,1024
14331,0,-9216,18432,6144,-4176,-1048,126,-5350,0,1024
14336,0,-9216,22528,7168,-5104,-1097,5175,-11376,0,1024
14341,0,-9216,11264,12288,-2552,-1175,-4751,1024,0,1024
14346,0,-9216,29696,9216,-6728,-1190,12840,-20758,0,1024
14351,0,-9216,25600,25600,-5800,-1227,8227,-15254,0,1024
14356,0,-9216,-5120,-9216,1160,-1186,-9823,9797,0,4096
14361,0,-9216,18432,2048,-4176,-1245,6965,-12850,0,1024
14366,0,-9216,3072,2048,-696,-1251,-3374,1427,0,1024
14371,0,-9216,27648,1024,-6264,-1340,9248,-16852,0,1024
14376,0,-9216,-18432,-10240,4176,-1328,-22892,25740,0,4096
14381,0,-9216,5120,-11264,-1160,-1277,-81,-2356,0,1024
14386,0,-9216,-7168,-5120,1624,-1322,-12772,13074,0,4096
14391,0,-9216,9216,-17408,-2088,-1146,6735,-9969,0,1024
14396,0,-9216,50176,3072,-11368,-1238,28617,-41223,0,1024
14401,0,-9216,-19456,-10240,4408,-1144,-19186,22450,0,4096
14406,0,-9216,24576,0,-5568,-966,16775,-23309,0,1024
14411,0,-9216,3072,-15360,-696,-1032,-4648,2920,0,1024
14416,0,-9216,-10240,-11264,2320,-792,-6139,7667,0,4096
14421,0,-9216,22528,6144,-5104,-877,9879,-15860,0,1024
14426,0,-9216,12288,-16384,-2784,-834,3866,-7484,0,1024
14431,0,-9216,31744,7168,-7192,-818,17441,-25696,0,1024
14436,0,-9216,-1024,-1024,232,-874,-8457,7815,0,4096
14441,0,-9216,19456,13312,-4408,-882,9202,-14492,0,1024
14446,0,-9216,7168,4096,-1624,-959,-5095,2976,0,1024
14451,0,-9216,2048,-2048,-464,-962,-3879,2453,0,1024
14456,0,-9216,13312,3072,-3016,-1019,1767,-5802,0,1024
14461,0,-9216,-7168,-15360,1624,-972,-3994,3255,0,4096
14466,0,-6144,6144,5120,-1392,-979,1732,-4103,0,1024
14471,0,-6144,-7168,-13312,1624,-888,-5072,5808,0,4096
14476,0,-6144,19456,3072,-4408,-894,13253,-18691,0,1024
14481,0,-9216,1024,1024,-232,-942,-4200,3026,0,1024
14486,0,-3072,24576,7168,-5568,-982,11256,-17806,0,1024
14491,0,-3072,6144,1024,-1392,-1019,-2927,516,0,1024
14496,0,-3072,7168,18432,-1624,-1021,-505,-2140,0,1024
14501,0,-3072,1024,-4096,-232,-1059,-5795,4504,0,1024
14506,0,-3072,9216,10240,-2088,-995,3316,-6399,0,1024
