R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
48,1,34,40,1,28,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDdtick,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi
269312,163.879,5250,-2220032,-2187264,-3072,4759,-63422
269317,169.861,5250,-2220032,-2247680,2592,4746,-60721
269322,145.935,5250,-2220032,-2328576,10176,4756,-60721
269327,145.935,5250,-2220032,-2397184,16608,4787,-60721
269332,145.081,5250,-2220032,-2449408,21504,4841,-60721
269337,136.047,5250,-2196480,-2490368,27552,4924,-60721
269342,98.206,5250,-2149376,-2523136,35040,5037,-60721
269347,96.130,5250,-2149376,-2485248,31488,5172,-86876
269352,99.915,5250,-2149376,-2555904,38112,5312,-86876
269357,107.727,5250,-1772544,-2565120,74304,5537,-86876
269362,124.817,5250,-1772544,-2536448,71616,5861,-75380
