R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000000,0.000300,75,250,1,250,1,50,500,0,0
sysTime,GPT1X,aPT1R,aPT2R,aKFRawR,aKFPT10R,aKFPT11R
386.550,-0.132,0.119,0.139,0.309,0.305,0.381
386.562,-1.327,-0.264,0.109,0.277,0.280,0.376
386.574,-0.449,-0.338,0.051,0.293,0.298,0.367
386.585,0.689,-0.312,-0.051,0.334,0.337,0.371
386.597,-0.140,-0.444,-0.095,0.323,0.329,0.374
386.609,0.275,-0.486,-0.128,0.319,0.324,0.369
386.621,0.816,-0.331,-0.185,0.326,0.327,0.366
386.632,0.553,-0.246,-0.254,0.338,0.337,0.372
386.644,-0.566,-0.474,-0.290,0.318,0.320,0.374
386.656,-1.193,-0.129,-0.250,0.282,0.278,0.357
386.668,-1.183,0.197,-0.242,0.255,0.243,0.335
386.679,-0.562,0.278,-0.215,0.256,0.242,0.321
386.691,-0.435,0.296,-0.165,0.260,0.245,0.314
386.703,-1.860,0.212,-0.074,0.220,0.206,0.301
386.714,-1.412,0.419,-0.049,0.216,0.197,0.281
386.726,-0.383,0.087,-0.061,0.205,0.191,0.263
386.738,0.029,0.118,-0.037,0.230,0.214,0.266
386.750,-0.073,0.304,0.002,0.236,0.216,0.265
386.761,-0.644,0.530,0.052,0.209,0.183,0.253
386.773,-0.631,0.514,0.046,0.198,0.172,0.244
386.785,0.238,0.241,0.079,0.205,0.182,0.239
386.797,0.598,0.326,0.134,0.240,0.213,0.247
386.808,0.077,0.346,0.146,0.233,0.204,0.251
386.818,-0.059,-0.061,0.124,0.212,0.189,0.247
386.830,0.285,0.142,0.084,0.233,0.205,0.252
386.842,-0.593,-0.482,0.045,0.199,0.178,0.246
386.854,0.319,-0.253,0.031,0.236,0.209,0.249
386.865,0.710,-0.395,0.001,0.258,0.232,0.257
386.877,0.114,-0.346,-0.054,0.254,0.227,0.263
386.889,0.150,-0.515,-0.100,0.239,0.214,0.257
386.901,1.486,-0.537,-0.113,0.279,0.251,0.264
386.912,1.997,-0.346,-0.127,0.312,0.281,0.281
386.924,1.691,-0.387,-0.154,0.325,0.296,0.303
386.936,1.685,-0.323,-0.174,0.344,0.313,0.319
386.948,2.071,-0.261,-0.183,0.377,0.345,0.338
