R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.000100,0.003000,20,45,5,45,5,50,500,0,0
sysTime,GRawX,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
333.856,-32.826,-23.135,-8.831,-2.209,0.313,-0.247,0.487
333.866,-14.515,-22.018,2.930,-1.628,0.107,-0.475,0.229
333.877,-24.281,-21.939,-5.448,-1.457,-0.092,-0.685,-0.003
333.887,-5.847,-22.918,29.109,-0.693,-0.333,-0.974,-0.256
333.898,-27.699,-22.417,36.268,0.821,-0.525,-1.208,-0.497
333.909,-43.446,-22.678,33.266,1.725,-0.716,-1.418,-0.720
333.919,-27.821,-20.943,-36.548,-0.032,-0.931,-1.559,-0.937
333.930,8.068,-16.514,-57.245,-3.701,-1.108,-1.636,-1.147
333.941,3.063,-15.363,-38.753,-3.620,-1.243,-1.781,-1.333
333.951,-25.867,-16.789,31.375,0.246,-1.317,-1.968,-1.496
333.962,-13.294,-14.640,46.647,1.876,-1.374,-2.087,-1.653
333.973,-18.177,-15.253,26.622,1.743,-1.527,-2.243,-1.793
333.984,-25.990,-15.737,8.370,1.297,-1.697,-2.401,-1.939
333.995,-22.449,-13.658,-12.829,-0.190,-1.808,-2.458,-2.070
334.005,-12.928,-13.492,-12.001,-1.117,-1.969,-2.589,-2.209
334.016,-5.481,-10.948,-13.017,-1.139,-1.989,-2.635,-2.328
334.026,7.580,-8.121,-16.039,-1.151,-1.992,-2.653,-2.422
334.037,1.964,-6.381,-18.013,-1.035,-1.966,-2.647,-2.483
334.048,1.232,-2.663,-24.003,-1.418,-1.908,-2.582,-2.518
334.059,12.463,-1.132,-9.452,-0.622,-1.824,-2.546,-2.528
334.069,1.842,1.273,-13.234,-0.326,-1.696,-2.430,-2.500
334.080,8.312,2.841,10.263,0.272,-1.580,-2.342,-2.457
334.091,10.632,5.330,29.187,1.880,-1.385,-2.216,-2.388
334.101,-1.697,6.199,26.530,3.165,-1.207,-2.097,-2.286
334.112,-2.673,7.948,32.049,3.334,-1.041,-1.942,-2.169
334.123,15.759,11.399,24.977,3.894,-0.802,-1.728,-2.028
334.133,7.214,12.362,19.305,3.745,-0.625,-1.545,-1.862
334.144,10.143,14.900,2.959,3.134,-0.426,-1.316,-1.682
334.155,27.722,16.410,-0.130,2.461,-0.264,-1.123,-1.495
334.166,30.774,19.222,-1.254,2.082,-0.011,-0.849,-1.283
334.176,28.821,21.133,3.791,2.038,0.237,-0.589,-1.053
334.187,23.572,21.189,10.759,2.301,0.474,-0.353,-0.809
334.198,16.125,22.624,14.202,2.192,0.780,-0.037,-0.544
334.208,13.561,22.732,-0.246,1.374,1.001,0.226,-0.283
334.219,11.486,22.452,-8.847,0.705,1.216,0.475,-0.032
334.230,35.046,23.811,-32.671,-0.162,1.481,0.763,0.214
334.240,19.665,24.383,-30.266,-0.804,1.748,1.048,0.474
334.251,30.774,25.240,-14.586,-0.698,2.049,1.327,0.734
334.262,13.561,23.355,8.964,0.098,2.299,1.522,0.986
334.272,22.473,23.086,18.636,0.581,2.530,1.718,1.217
334.282,15.515,22.478,-14.460,-0.190,2.712,1.929,1.439
334.292,23.938,22.529,-22.384,-0.817,2.896,2.151,1.651
334.303,16.125,21.779,-7.413,-0.709,3.139,2.387,1.879
334.313,28.821,19.825,-1.853,-0.575,3.283,2.527,2.077
334.324,12.341,17.496,1.759,-0.496,3.408,2.631,2.248
334.334,6.481,13.210,12.814,0.598,3.464,2.665,2.389
334.345,-2.918,9.650,11.558,1.100,3.484,2.669,2.501
334.357,-4.993,6.179,-7.172,0.924,3.429,2.626,2.575
334.369,-11.463,1.542,-23.874,0.436,3.292,2.514,2.606
334.381,-16.224,-2.020,-2.284,0.232,3.176,2.400,2.585
334.393,-35.633,-6.306,-2.009,-0.923,2.965,2.233,2.521
334.405,-32.948,-9.625,19.372,-1.691,2.731,2.032,2.397
334.417,-27.332,-13.100,29.377,-1.206,2.440,1.750,2.223
334.429,-28.553,-15.631,19.608,-0.997,2.132,1.461,2.018
334.441,-14.515,-17.723,5.887,-1.162,1.785,1.153,1.787
334.452,-30.628,-21.747,-11.300,-1.696,1.424,0.816,1.544
334.464,-43.324,-25.348,-22.424,-1.887,1.086,0.459,1.261
334.475,-37.098,-28.546,-20.725,-1.573,0.708,0.046,0.934
334.487,-38.929,-32.479,-11.681,-0.667,0.263,-0.442,0.561
334.499,-45.399,-38.955,4.223,0.623,-0.318,-1.074,0.128
334.511,-38.319,-42.505,26.268,2.178,-0.860,-1.679,-0.353
334.522,-44.789,-45.240,-5.019,2.463,-1.479,-2.275,-0.858
334.534,-44.057,-49.781,12.178,3.056,-2.141,-2.955,-1.404
334.546,-45.888,-53.604,25.753,4.049,-2.814,-3.658,-1.990
334.558,-56.264,-57.646,25.952,4.809,-3.525,-4.379,-2.604
334.570,-57.363,-58.683,12.009,5.308,-4.171,-5.036,-3.245
334.582,-56.996,-59.326,7.076,5.310,-4.813,-5.658,-3.869
334.593,-54.799,-60.053,3.786,4.928,-5.455,-6.272,-4.481
334.604,-69.204,-60.987,-3.132,4.381,-6.097,-6.881,-5.093
334.616,-66.518,-59.533,1.691,4.250,-6.682,-7.453,-5.705
334.627,-41.005,-58.305,11.752,4.581,-7.249,-8.032,-6.308
334.639,-62.368,-55.865,35.227,5.338,-7.698,-8.506,-6.863
334.650,-52.358,-53.335,39.378,6.222,-8.139,-8.983,-7.396
334.661,-40.516,-50.231,35.761,6.062,-8.537,-9.389,-7.893
334.673,-36.366,-45.104,39.997,5.804,-8.802,-9.672,-8.353
334.685,-25.623,-38.808,40.624,5.724,-8.964,-9.873,-8.741
334.697,-2.063,-31.241,17.195,5.426,-9.029,-9.934,-9.041
334.709,-8.045,-23.454,2.786,5.180,-9.022,-9.883,-9.236
334.720,8.678,-15.724,2.823,5.184,-8.918,-9.745,-9.343
334.732,9.167,-9.121,20.426,5.791,-8.736,-9.571,-9.361
334.743,28.454,-1.254,14.217,5.728,-8.476,-9.293,-9.306
334.755,38.587,7.043,1.443,5.123,-8.098,-8.874,-9.150
334.766,40.906,16.307,-13.416,4.121,-7.619,-8.342,-8.898
334.777,35.535,22.848,-9.033,3.870,-7.086,-7.796,-8.562
334.788,62.757,30.821,25.965,5.041,-6.435,-7.207,-8.168
334.799,54.090,38.806,27.418,5.958,-5.743,-6.559,-7.697
334.809,55.799,45.244,-12.974,4.267,-5.103,-5.843,-7.151
334.820,63.490,48.485,-19.746,2.280,-4.534,-5.207,-6.586
334.830,83.144,57.716,3.365,2.429,-3.656,-4.379,-5.965
334.840,57.996,62.246,41.068,3.405,-2.722,-3.545,-5.257
334.851,68.617,64.996,3.499,2.821,-1.938,-2.753,-4.524
334.861,75.819,68.113,-20.122,0.974,-1.146,-1.906,-3.770
334.872,70.814,66.909,-12.253,0.653,-0.461,-1.202,-3.020
334.882,60.804,64.591,20.856,2.885,0.182,-0.583,-2.301
334.893,41.028,63.032,23.984,3.751,0.873,0.068,-1.587
334.903,67.396,62.931,-12.462,1.695,1.475,0.764,-0.890
334.914,47.254,61.695,-27.083,-0.548,2.042,1.418,-0.213
334.924,63.978,57.799,-15.480,-1.053,2.512,1.915,0.402
334.935,43.103,58.728,2.484,-0.434,3.168,2.562,1.021
334.945,55.067,53.980,-0.192,0.025,3.631,3.008,1.600
334.956,62.513,50.186,11.400,1.101,4.063,3.405,2.128
334.966,41.638,47.619,31.166,2.296,4.559,3.847,2.649
334.977,13.684,43.203,4.525,2.025,4.906,4.203,3.131
334.987,32.971,38.542,-16.246,0.412,5.118,4.486,3.544
334.998,29.675,35.547,-8.645,-0.135,5.369,4.746,3.905
335.008,4.406,29.094,33.818,0.962,5.610,4.907,4.227
335.018,-13.538,18.648,10.790,0.908,5.566,4.851,4.451
335.028,7.092,14.933,-37.566,-0.633,5.539,4.891,4.589
335.039,9.777,12.764,-8.399,-0.812,5.619,4.949,4.697
335.049,-19.153,6.488,29.470,1.290,5.629,4.874,4.778
335.060,-27.332,-2.700,26.948,1.937,5.417,4.608,4.771
335.070,-31.361,-7.858,-27.229,-0.130,5.156,4.406,4.695
335.080,-19.031,-12.202,-0.457,0.589,4.992,4.193,4.571
335.090,-47.108,-20.983,43.979,2.031,4.686,3.793,4.390
335.100,-61.513,-29.657,0.075,1.211,4.192,3.322,4.124
335.110,-38.807,-34.926,-34.070,-0.190,3.665,2.853,3.776
335.121,-31.117,-36.299,1.140,0.115,3.289,2.422,3.380
335.131,-72.500,-41.085,47.920,1.526,2.897,1.905,2.974
335.142,-68.593,-46.405,15.008,1.094,2.319,1.318,2.513
335.152,-58.705,-46.906,-14.236,-0.554,1.752,0.811,2.014
335.163,-50.893,-47.476,-30.211,-2.747,1.163,0.288,1.494
335.173,-64.199,-47.296,-34.725,-4.238,0.680,-0.160,0.987
335.184,-24.769,-48.685,0.174,-2.933,0.181,-0.744,0.448
335.194,-51.259,-49.229,49.040,0.693,-0.189,-1.254,-0.057
335.205,-47.230,-47.836,49.205,3.269,-0.529,-1.721,-0.544
335.215,-61.513,-49.856,3.284,2.245,-1.053,-2.202,-1.013
335.225,-47.963,-49.246,-29.162,-0.566,-1.613,-2.678,-1.512
335.236,-32.337,-46.081,-31.236,-2.321,-2.087,-3.074,-2.005
335.246,-37.098,-42.708,-10.960,-2.287,-2.388,-3.396,-2.451
335.257,-30.506,-42.720,-4.083,-1.615,-2.786,-3.829,-2.894
335.267,-17.689,-39.531,9.719,-0.228,-3.016,-4.130,-3.296
335.278,-17.078,-35.493,33.386,2.114,-3.183,-4.387,-3.650
335.288,-21.229,-33.176,32.719,3.830,-3.352,-4.623,-3.951
335.299,-23.548,-31.424,29.121,4.485,-3.589,-4.856,-4.227
335.309,-20.862,-27.487,17.319,3.693,-3.762,-4.986,-4.468
335.320,-28.065,-25.129,3.275,2.859,-3.911,-5.091,-4.667
335.330,-6.824,-19.393,-4.695,1.696,-3.986,-5.107,-4.836
335.341,-12.928,-12.302,-4.034,0.715,-3.935,-5.003,-4.934
335.351,4.040,-9.311,-22.101,-0.771,-4.007,-4.985,-5.005
335.362,18.566,-2.327,-29.208,-2.268,-3.928,-4.829,-5.030
335.372,21.862,4.986,-16.788,-2.697,-3.700,-4.565,-4.978
335.382,20.886,10.719,6.523,-1.753,-3.391,-4.300,-4.861
335.393,36.389,17.475,11.510,-0.721,-3.004,-3.966,-4.680
335.403,28.088,21.513,-11.187,-0.857,-2.665,-3.614,-4.432
335.414,54.578,26.166,-17.884,-1.041,-2.330,-3.256,-4.158
335.424,60.682,33.126,-9.046,-0.789,-1.847,-2.762,-3.816
335.434,48.841,35.550,5.547,-0.432,-1.405,-2.325,-3.427
335.445,49.695,36.468,2.760,-0.380,-0.996,-1.918,-3.024
335.455,51.282,39.656,-11.194,-0.688,-0.508,-1.416,-2.600
335.466,40.418,40.451,-7.815,-1.723,-0.098,-0.958,-2.165
335.476,47.010,44.444,-5.848,-2.463,0.431,-0.396,-1.711
335.487,22.473,43.117,5.445,-2.541,0.856,0.032,-1.247
335.497,28.088,43.703,1.324,-2.655,1.285,0.476,-0.799
335.507,18.689,42.381,-20.731,-3.440,1.649,0.883,-0.357
335.518,41.028,40.959,-32.851,-3.670,2.004,1.232,0.053
335.528,35.535,40.486,-33.448,-3.511,2.417,1.625,0.465
335.539,59.095,41.758,-23.023,-2.535,2.901,2.064,0.882
335.549,35.046,41.078,-8.413,-1.668,3.383,2.484,1.310
335.560,40.906,40.968,4.106,-1.308,3.832,2.908,1.728
