R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,40,0,0,0,500000,15000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1024,1024,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDFFoutXi,PIDUXi
13791,199680,264192,-14616,15234,1000
13801,178176,161792,3712,13593,71234
13811,178176,225280,-10672,13593,-32596
13821,172032,241664,-15776,13125,-69687
13831,168960,125952,9744,12890,27693
13841,168960,135168,7656,12890,16863
13851,159744,95232,14616,12187,58074
13861,159744,225280,-14848,12187,-54355
13871,156672,261120,-23664,11953,-68808
13881,156672,202752,-10440,11953,-551
13891,159744,146432,3016,12187,54925
13901,168960,258048,-20184,12890,-47320
13911,168960,224256,-12528,12890,-11406
13921,234496,151552,18792,17890,75534
13931,252928,209920,-2320,19296,-22359
13941,275456,352256,-17400,21015,-85360
13951,305152,246784,13224,23281,55713
13961,305152,279552,5800,23281,40072
13971,369664,506880,-31088,28203,-119456
13981,409600,354304,12528,31250,71746
13991,423936,449536,-5800,32343,2079
14001,423936,529408,-23896,32343,-55081
14011,471040,446464,5568,35937,59540
14021,471040,378880,20880,35937,81058
14031,471040,575488,-23664,35937,-70904
14041,600064,404480,44312,45781,149750
14051,625664,490496,30624,47734,95279
14061,713728,618496,21576,54453,40496
14071,713728,742400,-6496,54453,-19195
14081,713728,719872,-1392,54453,59438
14091,713728,889856,-39904,54453,-38761
14101,1094656,940032,35032,83515,90181
14111,1094656,1038336,12760,83515,55170
14121,1094656,1051648,9744,83515,95127
14131,1094656,1209344,-25984,83515,11962
14141,2291712,1383424,205784,174843,294201
14151,2726912,1541120,268656,208046,406698
14161,3007488,2012160,225504,229453,264630
14171,3141632,2539520,136416,239687,135720
14181,3903488,3106816,180496,297812,174093
14191,3903488,3732480,38744,297812,6451
14201,3903488,4125696,-50344,297812,2802
14211,6305792,4513792,406000,481093,665073
14221,6305792,4898816,318768,481093,589629
14231,6305792,5586944,162864,481093,336565
14241,10695680,6478848,955376,816015,1342253
14251,10802176,7585792,728712,824140,969501
14261,10802176,8970240,415048,824140,500713
14271,10281984,10779648,-112752,784453,-237742
14281,8762368,12261376,-792744,668515,-982230
14291,7677952,12924928,-1188768,585781,-1103049
14301,7677952,12699648,-1137728,585781,-588186
14311,4998144,12066816,-1601496,381328,-1025079
14321,4998144,10926080,-1343048,381328,-577378
14331,3040256,9500672,-1463688,231953,-672523
14341,3040256,8173568,-1163016,231953,-306274
14351,3040256,7040000,-906192,231953,-178896
14361,3040256,6207488,-717576,231953,-189492
14371,1012736,5405696,-995280,77265,-736498
14381,1012736,4609024,-814784,77265,-584908
14391,358400,3681280,-752840,27343,-485127
14401,358400,2819072,-557496,27343,-300818
