R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
35,1,25,35,1,25,200,0,0,0,0,0,2147483648,10000000,10.0,64.0,0.000100,0.003000,50,
sysTickMs,GRawXi,PIDdtick,PIDRefXi,PIDRefZi,PIDSensXi,PIDSensZi,PIDPoutXi,PIDIoutXi,PIDDoutXi
11346,96.619,5250,0,32768,-238592,-169984,16310,353,5791
11351,89.172,5250,0,32768,-169984,-101376,11620,359,5791
11356,72.693,5250,0,32768,-129024,-57344,8820,363,5791
11361,43.030,5250,0,32768,-97280,-104448,6650,367,2499
11366,7.996,5250,0,32768,-77824,-142336,5320,371,2499
11371,-36.072,5250,0,32768,-7168,-109568,490,374,2499
11376,-87.219,5250,0,32768,203776,-96256,-13930,372,5782
11381,-103.699,5250,0,32768,216064,-94208,-14770,367,5782
11386,-39.001,5250,0,32768,145408,-71680,-9940,360,5782
11391,18.860,5250,0,32768,254976,-36864,-17430,353,14551
11396,5.676,5250,0,32768,283648,11264,-19390,348,14551
11401,-8.240,5250,0,32768,199680,-60416,-13650,343,14179
11406,-34.241,5250,0,32768,92160,-103424,-6300,342,4504
11411,-9.460,5250,0,32768,-4096,-139264,280,341,4504
11416,-0.183,5250,0,32768,14336,-156672,-980,340,4027
11421,9.705,5250,0,32768,29696,-132096,-2030,340,3140
11426,-6.409,5250,0,32768,0,-140288,0,340,3140
11431,-19.958,5250,0,32768,-77824,-154624,5320,341,1124
11436,-29.602,5250,0,32768,-71680,-132096,4900,343,1124
11441,-34.241,5250,0,32768,-34816,-120832,2380,345,1124
11446,-42.175,5250,0,32768,-33792,-120832,2310,349,4716
11451,-68.665,5250,0,32768,-107520,-166912,7350,355,3542
11456,-71.106,5250,0,32768,-117760,-58368,8050,364,-3033
11461,-45.349,5250,0,32768,-197632,-66560,13510,374,-548
11466,-29.846,5250,0,32768,-144384,-55296,9870,385,-548
11471,-35.950,5250,0,32768,-103424,-25600,7070,396,-12233
11476,-26.916,5250,0,32768,-211968,17408,14490,412,-2435
11481,-18.616,5250,0,32768,-296960,30720,20300,430,-2435
11486,43.762,5250,0,32768,-368640,56320,25200,449,-2435
11491,91.248,5250,0,32768,-417792,83968,28560,468,-15385
