R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,iRelaxX,IRelaxY,DmaxR,DmaxE,DMx,DMy
58,80,47,58,80,47,250,0,0,0,100,0,500000,3000000,10,1,1000,0,0,0,0,0,0,0,0,0.995,1024,1024,0,0,0,0
sysTickMs,PIDRefXi,PIDSensXi,PIDPoutXi,PIDIoutXi,PIDDoutXi,PIDFFoutXi
92589,584704,433152,34336,44232,-82503,3338
92599,584704,444416,31784,43830,-75939,900
92609,766976,667648,22504,44661,63787,15921
92619,766976,526336,54520,45958,-50317,4364
92629,766976,778240,-2552,47067,118211,1113
92639,766976,677888,20184,47859,14515,274
92649,766976,637952,29232,48594,-20586,61
92659,1481728,805888,153120,49358,88021,136328
92669,1481728,714752,173768,54205,-4349,37487
92679,1481728,944128,121800,59302,97453,9655
92689,2057216,1186816,197200,65011,145991,59796
92699,2057216,1481728,130384,70535,192578,16433
92709,3107840,1658880,328280,76857,124304,102749
92719,3578880,2002944,364936,86755,125119,58471
92729,4395008,2444288,441960,96333,195802,128799
92739,4637696,2981888,375144,107540,235917,55960
92749,4687872,3533824,261464,117024,266130,24948
92759,4637696,4160512,108112,123592,335138,-83
92769,4637696,4458496,45008,126506,204443,-46
92779,3657728,4698112,-235712,101854,168699,-66587
92789,3657728,4708352,-238032,68794,74412,-17191
92799,3657728,4489216,-188384,41575,-35124,-4743
92809,3657728,4261888,-136880,21026,-52921,-1240
92819,3657728,3997696,-77024,9766,-73874,-361
92829,3657728,3705856,-10904,5378,-119566,-113
92839,1003520,3520512,-570256,-7727,-126462,-169047
92849,1003520,3056640,-465160,-21503,-242333,-46512
92859,435200,2330624,-429432,-35025,-355495,-61979
