R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,10,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GPT1X,GPT1Z,aPT1R,aPT1P,aKFRawR,aKFRawP,aKFPT10R,aKFPT10P,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
477.472,45.411,-24.135,3.360,-1.841,2.289,-2.416,1.249,-0.343,1.141,-0.231,0.145,0.244
477.483,61.878,-31.858,2.383,-4.209,2.770,-3.391,2.374,-0.982,2.177,-0.701,0.728,-0.079
477.494,71.541,-40.046,2.594,-3.488,3.278,-3.704,3.452,-1.751,3.126,-1.307,1.464,-0.533
477.506,75.895,-47.767,1.688,-4.309,3.903,-4.551,4.239,-2.534,3.889,-2.030,2.242,-1.083
477.517,72.160,-50.219,3.633,-9.458,5.050,-6.480,4.815,-3.447,4.372,-2.706,3.004,-1.719
477.529,67.590,-48.547,2.698,-9.713,5.355,-7.657,5.357,-4.300,4.835,-3.277,3.706,-2.402
477.540,59.005,-44.038,1.559,-8.984,5.483,-8.308,5.667,-4.950,5.143,-3.755,4.325,-3.080
477.552,49.437,-36.549,1.822,-6.842,5.603,-8.097,5.726,-5.377,5.269,-4.124,4.783,-3.688
477.563,40.711,-27.494,1.321,-3.974,5.531,-7.575,5.758,-5.515,5.298,-4.344,5.114,-4.180
477.575,31.125,-19.054,-0.079,-1.244,4.988,-6.928,5.607,-5.446,5.207,-4.465,5.314,-4.528
477.586,19.964,-5.593,-2.675,2.139,4.203,-5.778,5.179,-4.867,4.970,-4.230,5.362,-4.665
477.598,6.142,9.298,-3.003,2.371,3.591,-4.925,4.543,-4.093,4.516,-3.733,5.224,-4.566
477.609,-7.000,26.662,-2.835,2.406,2.950,-3.737,3.745,-3.082,3.890,-2.943,4.895,-4.232
477.621,-22.990,42.897,-0.365,3.273,2.450,-2.417,2.806,-1.866,3.008,-1.916,4.389,-3.668
477.632,-36.914,61.402,2.522,3.275,2.284,-1.253,1.948,-0.458,2.031,-0.708,3.756,-2.916
477.643,-48.169,79.152,5.266,0.659,1.907,-0.380,1.228,0.977,1.092,0.664,3.068,-1.979
477.654,-58.788,96.624,7.213,-3.783,1.447,0.405,0.622,2.313,0.223,2.144,2.369,-0.916
477.666,-66.471,107.944,9.347,-9.715,1.626,0.657,0.142,3.320,-0.536,3.532,1.660,0.228
477.678,-74.038,115.141,9.589,-10.921,0.929,1.448,-0.470,4.120,-1.398,4.732,0.939,1.344
477.689,-81.789,120.152,10.036,-11.481,0.235,2.207,-1.083,4.811,-2.220,5.750,0.243,2.357
477.701,-85.483,121.451,10.356,-11.257,-0.284,2.670,-1.577,5.332,-2.913,6.514,-0.425,3.269
477.713,-89.588,118.509,9.789,-10.392,-0.825,2.667,-2.106,5.668,-3.588,6.993,-1.045,4.037
477.724,-88.054,117.034,7.779,-8.128,-1.664,3.734,-2.447,6.094,-3.977,7.450,-1.602,4.720
477.736,-86.688,110.390,4.527,-4.450,-2.272,4.426,-2.874,6.435,-4.272,7.675,-2.110,5.308
477.748,-84.603,100.505,-2.432,-0.034,-3.667,5.150,-3.558,6.805,-4.554,7.744,-2.627,5.818
477.760,-88.194,87.779,-4.369,2.362,-5.228,5.627,-4.606,7.102,-5.114,7.619,-3.218,6.223
477.771,-91.317,74.119,-0.300,0.420,-5.287,5.450,-5.553,7.250,-5.744,7.470,-3.883,6.538
477.783,-92.773,58.357,5.438,-4.261,-5.157,4.191,-6.149,6.912,-6.389,7.099,-4.568,6.688
477.795,-88.295,42.880,8.969,-2.932,-4.658,4.003,-6.224,6.292,-6.761,6.541,-5.141,6.636
477.807,-82.616,25.184,6.052,4.954,-5.494,4.163,-6.234,5.800,-6.940,5.778,-5.565,6.422
477.818,-75.191,12.474,5.766,4.673,-5.466,3.570,-6.280,5.445,-7.008,5.075,-5.865,6.123
477.830,-65.749,-1.078,5.330,3.018,-5.803,2.785,-6.166,4.863,-6.897,4.298,-6.035,5.732
477.842,-51.991,-12.076,2.164,3.304,-6.491,2.365,-5.863,4.232,-6.453,3.527,-6.050,5.264
477.854,-36.801,-19.982,4.786,-1.512,-5.932,1.226,-5.434,3.603,-5.891,2.891,-5.922,4.752
