R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,Dz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,200,80,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFRawR,aKFRawP,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
317.535,-3.310,41.294,4.135,4.523,0.655,-20.742,-0.836,-15.638,-1.078,-15.185
317.546,3.696,29.656,4.279,5.135,0.382,-20.335,-0.429,-15.368,-0.654,-15.009
317.558,-7.645,21.064,3.720,5.208,0.061,-19.975,-0.105,-14.895,-0.283,-14.756
317.569,-33.753,-20.794,2.597,4.705,-0.985,-20.642,0.024,-14.434,-0.011,-14.468
317.581,-5.096,-32.800,0.962,3.320,-1.965,-21.180,0.149,-13.884,0.137,-14.177
317.592,24.686,-26.062,-0.294,1.488,-2.624,-20.722,-0.144,-13.344,0.134,-13.882
317.604,25.796,17.487,-0.609,-0.192,-2.313,-20.350,-0.493,-12.897,0.020,-13.604
317.615,-66.339,22.668,-0.546,-1.458,-2.813,-19.686,-0.690,-12.459,-0.131,-13.332
317.626,-78.609,-3.019,-1.605,-2.223,-4.494,-18.978,-0.748,-12.067,-0.286,-13.064
317.638,-54.684,-23.008,-3.301,-2.659,-4.844,-18.201,-0.767,-11.496,-0.465,-12.737
317.649,-20.204,-4.475,-4.737,-2.642,-4.746,-16.839,-0.945,-10.928,-0.704,-12.327
317.659,-7.675,42.100,-5.744,-1.264,-4.674,-15.138,-1.116,-10.318,-0.984,-11.795
317.670,-13.718,9.692,-6.712,0.347,-3.950,-14.651,-1.358,-9.399,-1.299,-11.087
317.681,-14.657,-14.371,-7.281,1.252,-3.516,-13.475,-1.760,-8.357,-1.645,-10.227
317.692,-26.633,-59.548,-7.446,1.485,-3.931,-13.904,-2.186,-7.204,-2.021,-9.277
317.703,-1.142,21.789,-7.224,1.545,-3.814,-12.543,-2.437,-6.041,-2.363,-8.267
317.714,55.286,3.512,-5.699,1.845,-2.740,-11.633,-2.731,-4.932,-2.617,-7.224
317.725,17.861,-65.102,-3.211,0.482,-2.262,-11.271,-2.915,-3.720,-2.751,-6.184
317.736,48.661,-13.781,-0.579,-2.291,-1.269,-10.790,-2.767,-2.705,-2.703,-5.253
317.746,52.021,-24.017,1.872,-3.858,-0.871,-9.591,-2.503,-1.929,-2.498,-4.435
317.757,-47.796,-17.197,2.969,-5.746,-1.541,-9.585,-1.993,-1.259,-2.179,-3.723
317.768,20.618,25.758,3.826,-5.498,-1.900,-8.625,-1.590,-0.728,-1.793,-3.071
317.779,15.283,-71.555,4.747,-5.701,-1.659,-8.128,-1.154,-0.039,-1.367,-2.432
317.790,16.443,16.043,5.120,-6.130,-1.242,-6.636,-0.347,0.555,-0.853,-1.793
317.802,-41.307,-36.233,4.895,-5.785,-1.779,-5.027,0.317,0.988,-0.288,-1.173
317.813,-19.265,32.301,3.881,-5.598,-1.522,-3.949,0.998,1.492,0.267,-0.553
317.825,21.747,1.670,3.293,-3.947,-0.926,-2.703,1.485,2.038,0.798,0.106
317.836,-7.775,-52.078,2.811,-3.617,-0.926,-2.235,1.920,2.657,1.268,0.770
317.848,-27.421,37.532,1.385,-2.572,-0.458,-1.102,2.590,3.258,1.714,1.455
317.859,53.423,19.299,0.237,-1.090,0.771,-0.652,2.640,3.831,2.068,2.182
317.871,43.023,-34.117,-0.014,-0.351,1.881,-0.045,2.948,4.607,2.344,2.932
317.882,-32.032,-54.226,-0.522,-0.695,2.078,-0.308,3.385,5.298,2.644,3.664
317.894,27.078,11.565,-0.867,-0.720,1.792,0.182,3.657,5.878,2.927,4.344
317.905,-28.498,-52.829,-1.211,-1.333,1.356,0.468,3.959,6.336,3.196,4.947
317.917,-20.751,40.344,-2.411,-1.038,1.270,1.332,4.173,6.516,3.422,5.464
317.928,48.717,-41.263,-2.113,-1.163,2.580,1.389,4.167,6.909,3.607,5.910
317.940,15.606,69.248,-0.893,-1.496,3.649,3.132,4.376,7.035,3.814,6.269
317.951,-4.062,-58.443,0.027,-1.982,3.950,3.615,4.761,7.222,4.109,6.545
317.963,-48.898,28.783,-0.493,-2.008,3.696,4.961,5.283,7.367,4.468,6.803
