R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,10,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,GPT1X,GPT1Z,aPT1R,aPT1P,aKFRawR,aKFRawP,aKFPT10R,aKFPT10P,aKFPT20R,aKFPT20P,aKFPT21R,aKFPT21P
593.329,-117.416,-23.853,3.212,-12.423,-9.343,-13.126,-10.467,-13.265,-10.961,-10.903,-8.228,-11.121
593.341,-98.857,-1.116,2.477,-5.388,-9.277,-11.492,-10.438,-12.668,-10.943,-10.745,-8.913,-11.570
593.352,-76.863,28.317,2.357,-2.721,-8.289,-9.783,-10.139,-11.428,-10.656,-10.091,-9.329,-11.599
593.364,-56.042,56.146,2.526,-2.915,-7.702,-7.996,-9.599,-9.753,-10.116,-8.948,-9.454,-11.164
593.375,-31.030,86.207,1.746,-4.979,-7.163,-6.364,-8.770,-7.883,-9.230,-7.345,-9.329,-10.345
593.387,-9.430,107.773,4.234,-5.172,-6.940,-4.562,-7.800,-6.147,-8.259,-5.742,-8.947,-9.238
593.399,12.707,126.954,6.920,-4.037,-5.818,-2.578,-6.424,-4.296,-7.013,-4.072,-8.286,-7.926
593.410,35.426,145.678,8.698,-3.726,-3.396,-0.571,-4.712,-2.329,-5.529,-2.280,-7.351,-6.437
593.422,57.282,159.743,7.813,-3.972,-1.703,0.870,-2.735,-0.330,-3.734,-0.415,-6.136,-4.801
593.434,76.184,170.454,5.157,-3.913,-1.165,2.425,-0.855,1.526,-1.886,1.358,-4.740,-3.111
593.445,91.688,179.331,0.041,-1.657,-0.748,4.499,0.796,3.316,-0.064,3.029,-3.258,-1.432
593.457,105.122,186.364,-3.477,-0.194,0.374,6.161,2.272,5.151,1.761,4.662,-1.734,0.291
593.468,119.621,191.622,-6.080,1.110,2.017,7.893,3.735,7.059,3.644,6.341,-0.184,2.097
593.480,128.155,194.908,-9.150,3.746,3.099,9.720,4.865,8.946,5.234,7.967,1.296,3.911
593.492,134.749,197.697,-9.243,5.202,4.503,11.352,5.851,10.888,6.627,9.645,2.655,5.739
593.504,135.356,194.180,-5.911,7.693,6.579,13.097,6.780,12.632,7.749,11.142,3.919,7.553
593.516,133.510,181.998,-3.052,12.193,7.744,14.907,7.700,14.170,8.620,12.297,5.068,9.270
593.527,126.131,166.649,-3.170,9.113,9.070,15.182,8.375,15.294,9.181,13.134,6.098,10.808
593.539,115.255,145.208,-4.723,5.367,8.745,14.395,8.709,15.798,9.545,13.658,6.964,12.102
593.551,98.942,119.981,-0.970,3.852,9.875,14.080,8.769,15.810,9.601,13.772,7.605,13.049
593.563,77.322,98.071,2.011,-5.783,9.812,12.896,8.678,15.284,9.218,13.655,8.012,13.618
