R
Px,I,D,Py,I,D,Pz,I,D,FFrx,y,FFdrx,y,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas
175,25,1900,200,25,2100,100,50,0,0,0,0,7,75,10,10.0,16.0,0.001,0.003,0.03
sysTime,aRawR,aRawP,aPT2R,aPT2P,aKFPT21R,aKFPT21P
132.132,31.235,-41.811,1.359,1.424,-7.363,3.968
132.143,0.034,5.957,2.008,0.256,-7.512,3.528
132.153,11.944,-28.161,2.384,0.097,-7.622,3.075
132.163,-24.963,8.131,2.195,-0.524,-7.727,2.612
132.174,20.867,-1.265,2.346,-0.300,-7.808,2.160
132.184,-41.758,-26.807,2.016,-0.674,-7.867,1.716
132.195,-75.225,13.878,1.266,-0.292,-7.880,1.295
132.205,3.719,43.366,0.707,0.902,-7.862,0.964
132.216,-14.002,-67.958,0.806,0.839,-7.830,0.662
132.226,34.038,41.114,0.950,0.378,-7.736,0.364
132.237,-21.105,26.132,1.323,0.387,-7.527,0.074
132.247,29.033,23.790,1.882,0.344,-7.228,-0.192
132.258,-10.595,-79.439,2.483,-0.444,-6.851,-0.471
132.268,56.278,6.476,3.123,-0.870,-6.379,-0.757
132.278,2.087,-44.684,3.429,-1.296,-5.844,-1.064
132.289,1.630,-23.906,3.171,-1.642,-5.261,-1.359
132.300,-76.168,-2.973,2.269,-1.434,-4.691,-1.626
132.310,11.211,37.907,1.546,-0.115,-4.179,-1.801
132.320,-58.682,-27.532,1.346,0.671,-3.711,-1.891
132.331,-1.830,-47.267,0.942,0.205,-3.265,-1.921
132.341,13.482,8.718,1.108,-0.018,-2.845,-1.936
132.352,1.053,10.924,1.110,-0.079,-2.411,-1.899
132.362,74.943,-1.845,1.337,-0.050,-2.013,-1.793
132.373,-23.123,-54.625,1.262,-0.428,-1.608,-1.609
132.383,40.445,8.662,1.266,-0.584,-1.206,-1.378
132.393,-1.991,6.190,1.356,-0.451,-0.829,-1.111
132.404,-38.503,-26.067,0.096,-0.889,-0.494,-0.829
132.414,-26.453,60.598,-0.922,-0.965,-0.257,-0.535
132.425,-15.159,37.244,-1.505,-0.568,-0.074,-0.181
132.435,39.361,-32.336,-1.580,-0.559,0.066,0.186
132.446,21.210,-44.089,-1.371,-0.896,0.167,0.552
132.456,-14.505,-4.736,-1.359,-1.089,0.298,0.909
132.466,13.653,9.543,-1.076,-0.977,0.439,1.248
132.477,26.002,-63.650,-0.423,-1.319,0.567,1.541
132.488,6.442,-58.271,-0.389,-1.801,0.698,1.811
132.500,16.208,-46.353,-0.592,-1.927,0.841,2.073
132.511,27.714,-33.196,-0.518,-2.282,0.975,2.313
132.523,-6.118,-10.221,0.061,-2.719,1.111,2.532
132.535,-12.697,5.582,0.666,-2.843,1.259,2.677
132.547,-5.038,0.508,0.973,-2.580,1.423,2.779
132.559,1.216,-2.733,0.939,-2.004,1.590,2.868
132.570,14.602,-6.126,0.473,-1.124,1.744,2.950
132.582,25.958,7.610,0.133,-0.326,1.886,3.042
132.594,-7.060,46.154,0.156,0.240,2.024,3.114
132.606,-7.447,47.412,0.324,0.794,2.195,3.144
132.617,6.795,38.455,0.517,1.188,2.436,3.131
132.629,31.627,10.263,0.434,1.209,2.757,3.090
132.641,45.645,-28.287,0.115,0.559,3.133,2.993
132.653,70.582,-1.961,-0.381,-1.322,3.550,2.782
132.665,16.270,40.394,-0.895,-3.058,4.005,2.432
132.677,-26.923,36.199,-1.697,-4.187,4.529,1.980
132.689,-25.381,27.512,-2.843,-4.475,5.094,1.471
132.700,-13.053,25.725,-4.043,-4.097,5.701,0.954
132.712,-5.501,16.715,-4.753,-3.566,6.301,0.449
132.724,3.796,5.866,-5.077,-3.161,6.852,-0.036
132.736,9.464,-4.445,-5.031,-3.001,7.330,-0.515
132.747,12.543,-12.498,-4.795,-3.256,7.709,-0.990
132.758,-6.834,-35.465,-4.754,-3.726,7.961,-1.441
132.769,-71.865,-17.251,-5.158,-3.954,8.090,-1.895
