R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,50,40,120,30,100,155,300,0,0,0.995
sysTime,PIDRefX,PIDSensX,PIDPoutX,PIDIoutX,PIDDoutX,PIDUX
258.153,0.000,-0.115,0.002,0.171,0.088,0.084
258.163,0.000,1.106,-0.019,0.171,0.169,-0.017
258.175,0.000,0.255,-0.004,0.171,0.065,0.101
258.186,0.000,-3.018,0.052,0.179,-0.123,0.355
258.198,0.000,-2.358,0.041,0.191,0.087,0.144
258.209,0.000,-4.814,0.084,0.204,-0.074,0.362
258.221,0.000,-6.401,0.112,0.225,-0.041,0.379
258.233,0.000,-7.789,0.136,0.249,-0.065,0.451
258.244,0.000,-9.082,0.158,0.277,-0.050,0.486
258.256,0.000,-10.587,0.185,0.308,-0.097,0.590
258.267,0.000,-10.664,0.186,0.342,0.015,0.512
258.279,0.000,-12.248,0.214,0.377,-0.058,0.650
258.289,0.000,-12.278,0.214,0.409,-0.010,0.634
258.301,0.000,-12.669,0.221,0.445,-0.042,0.709
258.312,0.000,-8.483,0.148,0.475,0.323,0.300
258.324,0.000,-9.019,0.157,0.499,0.109,0.548
258.335,0.000,-5.464,0.095,0.518,0.283,0.330
258.347,0.000,-5.796,0.101,0.534,0.139,0.497
258.359,0.000,-3.892,0.068,0.547,0.180,0.434
258.370,0.000,-0.703,0.012,0.554,0.359,0.207
258.382,0.000,1.344,-0.023,0.554,0.387,0.143
258.393,0.000,0.354,-0.006,0.552,0.186,0.359
258.405,0.000,0.996,-0.017,0.550,0.159,0.374
258.417,0.000,1.089,-0.019,0.547,0.099,0.429
258.427,0.000,5.208,-0.091,0.540,0.420,0.029
258.438,0.000,5.271,-0.092,0.525,0.250,0.183
258.450,0.000,5.537,-0.096,0.510,0.169,0.244
258.462,0.000,5.793,-0.101,0.492,0.084,0.307
258.473,0.000,6.697,-0.117,0.473,0.086,0.269
258.485,0.000,5.568,-0.097,0.453,-0.067,0.423
258.496,0.000,2.314,-0.040,0.442,-0.285,0.687
258.508,0.000,2.862,-0.050,0.433,-0.147,0.530
258.520,0.000,3.177,-0.055,0.424,-0.066,0.435
258.531,0.000,1.088,-0.019,0.420,-0.143,0.544
258.543,0.000,2.903,-0.050,0.415,0.103,0.261
258.553,0.000,2.631,-0.046,0.408,0.052,0.310
258.565,0.000,2.410,-0.042,0.400,-0.005,0.363
258.576,0.000,2.064,-0.036,0.392,-0.085,0.442
258.588,0.000,2.418,-0.042,0.384,-0.049,0.391
258.600,0.000,3.468,-0.060,0.375,0.041,0.273
258.612,0.000,4.100,-0.071,0.363,0.042,0.248
258.623,0.000,2.665,-0.046,0.351,-0.138,0.443
258.635,0.000,1.177,-0.020,0.342,-0.289,0.611
258.645,0.000,2.789,-0.048,0.336,-0.097,0.384
258.657,0.000,2.488,-0.043,0.326,-0.125,0.408
258.668,0.000,2.572,-0.045,0.318,-0.097,0.370
258.678,0.000,2.632,-0.046,0.311,-0.070,0.335
258.690,0.000,1.767,-0.030,0.305,-0.074,0.349
258.701,0.000,0.471,-0.008,0.304,-0.080,0.376
258.711,0.000,-1.396,0.024,0.306,-0.196,0.527
258.723,0.000,0.364,-0.006,0.304,-0.059,0.357
258.735,0.000,1.065,-0.018,0.300,-0.066,0.348
258.746,0.000,2.375,-0.041,0.296,0.083,0.171
258.758,0.000,3.778,-0.066,0.284,0.110,0.108
258.770,0.000,5.992,-0.104,0.266,0.134,0.027
258.781,0.000,8.257,-0.144,0.242,0.168,-0.070
258.793,0.000,6.297,-0.110,0.216,-0.170,0.277
258.803,0.000,9.943,-0.174,0.193,0.091,-0.072
258.815,0.000,8.327,-0.145,0.163,-0.140,0.157
258.826,0.000,2.438,-0.042,0.148,-0.528,0.633
258.838,0.000,-0.376,0.006,0.144,-0.538,0.689
258.850,0.000,-4.316,0.075,0.151,-0.604,0.832
258.861,0.000,-7.624,0.133,0.171,-0.534,0.839
258.873,0.000,-10.352,0.181,0.200,-0.454,0.836
258.884,0.000,-11.802,0.206,0.234,-0.307,0.748
258.896,0.000,-9.161,0.160,0.268,0.137,0.291
258.908,0.000,-7.688,0.134,0.294,0.236,0.191
258.919,0.000,-6.779,0.118,0.314,0.196,0.236
258.929,0.000,-5.895,0.103,0.329,0.151,0.281
258.941,0.000,-4.614,0.080,0.341,0.102,0.319
258.952,0.000,-3.933,0.068,0.349,0.019,0.399
258.964,0.000,-5.255,0.091,0.360,-0.148,0.601
258.975,0.000,-5.686,0.099,0.373,-0.200,0.673
258.987,0.000,-6.687,0.117,0.389,-0.233,0.740
258.999,0.000,-7.514,0.131,0.410,-0.213,0.755
259.010,0.000,-10.323,0.180,0.438,-0.313,0.932
259.022,0.000,-12.331,0.215,0.474,-0.266,0.957
259.034,0.000,-16.659,0.291,0.521,-0.386,1.198
259.045,0.000,-15.050,0.263,0.568,-0.075,0.907
259.057,0.000,-12.695,0.222,0.606,0.110,0.718
259.067,0.000,-6.967,0.121,0.630,0.511,0.240
259.078,0.000,-6.500,0.113,0.649,0.322,0.440
259.090,0.000,-7.178,0.125,0.665,0.033,0.757
259.102,0.000,-5.938,0.103,0.681,0.004,0.780
259.113,0.000,-1.784,0.031,0.693,0.337,0.386
259.125,0.000,-1.225,0.021,0.701,0.337,0.384
259.135,0.000,-0.028,0.000,0.702,0.320,0.382
259.147,0.000,-4.126,0.072,0.710,-0.079,0.862
259.158,0.000,-2.209,0.038,0.718,0.092,0.664
259.170,0.000,0.149,-0.002,0.722,0.233,0.486
259.182,0.000,2.573,-0.045,0.721,0.406,0.269
259.192,0.000,5.712,-0.099,0.711,0.489,0.121
259.203,0.000,5.166,-0.090,0.695,0.264,0.340
259.215,0.000,7.385,-0.129,0.676,0.301,0.245
259.227,0.000,8.331,-0.145,0.655,0.303,0.206
259.237,0.000,7.014,-0.122,0.638,0.134,0.381
259.248,0.000,6.582,-0.115,0.619,0.062,0.442
259.260,0.000,6.859,-0.120,0.600,0.058,0.421
259.272,0.000,7.760,-0.135,0.580,0.140,0.304
259.282,0.000,7.394,-0.129,0.561,0.061,0.371
259.293,0.000,8.920,-0.156,0.539,0.191,0.191
259.305,0.000,9.671,-0.169,0.512,0.199,0.144
259.315,0.000,8.891,-0.155,0.491,0.143,0.192
259.327,0.000,8.103,-0.141,0.469,0.079,0.248
259.338,0.000,7.610,-0.133,0.448,0.044,0.270
259.350,0.000,8.304,-0.145,0.424,0.097,0.181
259.362,0.000,8.435,-0.147,0.399,0.043,0.208
259.373,0.000,10.691,-0.187,0.371,0.216,-0.033
259.383,0.000,12.994,-0.227,0.343,0.381,-0.266
259.395,0.000,10.967,-0.191,0.309,0.096,0.021
259.407,0.000,7.337,-0.128,0.280,-0.288,0.440
259.418,0.000,8.393,-0.146,0.254,-0.137,0.245
259.430,0.000,4.048,-0.070,0.234,-0.478,0.641
259.440,0.000,3.088,-0.054,0.220,-0.538,0.704
259.452,0.000,4.639,-0.081,0.211,-0.119,0.249
259.462,0.000,-0.924,0.016,0.209,-0.421,0.647
259.473,0.000,-0.236,0.004,0.210,-0.209,0.424
259.485,0.000,2.804,-0.049,0.203,0.023,0.131
259.497,0.000,-0.270,0.004,0.199,-0.239,0.444
259.508,0.000,-0.634,0.011,0.199,-0.209,0.420
259.520,0.000,2.201,-0.038,0.198,0.132,0.027
259.532,0.000,0.873,-0.015,0.198,0.069,0.113
259.543,0.000,-1.124,0.019,0.198,-0.115,0.333
259.555,0.000,0.505,-0.008,0.200,0.089,0.102
259.566,0.000,-0.383,0.006,0.199,-0.044,0.250
259.577,0.000,-0.444,0.007,0.201,-0.015,0.224
259.588,0.000,1.442,-0.025,0.199,0.157,0.016
259.600,0.000,-2.401,0.042,0.201,-0.201,0.445
259.611,0.000,-0.668,0.011,0.205,-0.007,0.224
259.623,0.000,0.000,-0.000,0.206,0.042,0.163
259.633,0.297,-3.353,0.063,0.212,-0.193,0.470
259.644,0.595,-4.363,0.086,0.225,-0.168,0.480
259.655,3.014,-4.398,0.129,0.241,-0.139,0.510
259.667,5.254,-5.329,0.185,0.264,-0.172,0.622
259.679,5.589,-5.153,0.188,0.297,-0.073,0.558
259.690,7.515,-5.836,0.233,0.330,-0.084,0.648
259.702,8.068,-5.429,0.236,0.368,-0.041,0.646
259.714,10.849,-4.858,0.274,0.408,0.011,0.672
259.725,10.849,-4.426,0.267,0.452,0.084,0.635
259.736,21.883,-0.807,0.397,0.515,0.348,0.564
259.747,21.883,2.603,0.337,0.572,0.423,0.486
259.758,31.138,5.922,0.441,0.647,0.515,0.573
259.770,38.442,7.465,0.542,0.725,0.405,0.861
259.781,38.442,11.238,0.476,0.804,0.498,0.782
259.792,48.778,9.450,0.688,0.893,0.207,1.373
259.803,50.592,8.785,0.731,1.010,0.094,1.647
259.815,57.028,10.809,0.808,1.140,0.138,1.811
259.827,57.028,11.239,0.801,1.277,0.120,1.958
259.839,59.080,17.693,0.724,1.404,0.423,1.705
259.850,60.480,26.757,0.590,1.510,0.800,1.300
259.862,60.480,30.072,0.532,1.604,0.724,1.412
259.873,66.346,35.176,0.545,1.696,0.808,1.432
259.885,71.842,39.895,0.559,1.750,0.798,1.510
259.896,72.656,45.803,0.469,1.750,0.874,1.345
259.908,72.656,50.147,0.393,1.750,0.797,1.346
259.920,71.036,57.185,0.242,1.750,0.928,1.064
259.931,71.036,63.207,0.137,1.750,0.979,0.907
259.943,67.110,67.698,-0.010,1.749,0.919,0.819
259.955,55.033,70.592,-0.272,1.725,0.792,0.661
259.967,53.093,72.515,-0.339,1.671,0.606,0.725
259.978,40.460,75.775,-0.618,1.589,0.569,0.402
259.990,25.660,78.352,-0.922,1.456,0.528,0.005
260.001,23.546,80.003,-0.988,1.302,0.401,-0.086
260.012,15.007,82.474,-1.180,1.137,0.406,-0.449
260.023,15.007,83.568,-1.199,0.947,0.315,-0.567
260.034,10.849,83.724,-1.275,0.755,0.186,-0.706
260.045,8.828,81.508,-1.271,0.551,-0.052,-0.667
260.056,8.828,78.589,-1.220,0.352,-0.243,-0.625
260.067,1.192,75.232,-1.295,0.150,-0.393,-0.752
260.078,1.192,70.402,-1.211,-0.040,-0.638,-0.612
260.088,1.192,62.604,-1.074,-0.207,-0.964,-0.317
260.099,0.000,56.754,-0.993,-0.374,-0.995,-0.371
260.110,0.000,47.942,-0.839,-0.516,-1.257,-0.098
260.121,0.000,38.492,-0.673,-0.633,-1.473,0.165
260.132,0.000,31.466,-0.550,-0.729,-1.392,0.112
260.143,0.000,24.081,-0.421,-0.805,-1.374,0.147
260.154,0.000,17.696,-0.309,-0.862,-1.303,0.131
260.165,0.000,8.186,-0.143,-0.896,-1.469,0.429
260.176,0.000,0.825,-0.014,-0.909,-1.447,0.523
260.188,0.000,-7.025,0.122,-0.899,-1.461,0.684
260.198,0.000,-12.490,0.218,-0.874,-1.329,0.673
260.209,0.000,-18.468,0.323,-0.832,-1.253,0.744
260.220,0.000,-25.406,0.444,-0.771,-1.253,0.926
260.231,0.000,-30.131,0.527,-0.694,-1.096,0.929
260.242,0.000,-34.203,0.598,-0.605,-0.938,0.931
260.253,0.000,-37.563,0.657,-0.505,-0.760,0.912
260.264,0.000,-39.977,0.699,-0.395,-0.658,0.962
260.276,0.000,-40.815,0.714,-0.278,-0.444,0.880
260.287,0.000,-40.888,0.715,-0.158,-0.179,0.737
260.299,0.000,-42.317,0.740,-0.034,-0.117,0.823
260.310,0.000,-41.460,0.725,0.085,0.014,0.796
260.321,0.000,-41.229,0.721,0.199,0.018,0.902
260.332,0.000,-43.383,0.759,0.317,-0.095,1.172
260.343,0.000,-44.683,0.781,0.438,-0.140,1.360
260.354,0.000,-47.077,0.823,0.562,-0.347,1.734
260.365,0.000,-47.652,0.833,0.692,-0.231,1.758
260.376,0.000,-46.087,0.806,0.822,0.000,1.628
260.388,0.000,-44.432,0.777,0.951,0.060,1.668
260.400,0.000,-43.829,0.767,1.079,0.072,1.774
260.410,0.000,-42.375,0.741,1.186,0.158,1.769
260.421,0.000,-37.062,0.648,1.300,0.463,1.485
260.431,0.000,-34.308,0.600,1.391,0.523,1.467
260.443,0.000,-30.125,0.527,1.485,0.660,1.351
260.453,0.000,-24.904,0.435,1.554,0.841,1.148
260.464,0.000,-17.298,0.302,1.613,1.018,0.897
260.476,0.000,-11.656,0.203,1.655,1.078,0.780
