R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,30,0,30,0,75,300,0,0,0.995
sysTime,GRawX,GPT1X,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
212.495,6.696,8.931,0.245,-0.034,-0.333,-0.757,0.087,-0.778,-1.109
212.506,-0.139,10.039,0.430,0.126,-0.187,-0.644,0.289,-0.608,-0.966
212.516,15.974,7.755,0.748,0.166,-0.172,-0.558,0.400,-0.565,-0.848
212.527,-0.994,9.558,0.895,0.329,-0.024,-0.453,0.607,-0.388,-0.709
212.537,6.574,6.731,0.685,0.366,0.022,-0.361,0.626,-0.315,-0.587
212.547,21.833,10.384,0.421,0.537,0.207,-0.266,0.761,-0.111,-0.469
212.558,4.499,9.121,0.194,0.618,0.297,-0.157,0.813,-0.010,-0.343
212.568,2.912,5.803,0.223,0.615,0.286,-0.081,0.822,-0.011,-0.254
212.579,14.753,6.389,0.478,0.694,0.336,-0.024,0.966,0.050,-0.182
212.589,-5.388,5.566,0.892,0.780,0.387,0.045,1.133,0.117,-0.093
212.600,-11.004,1.048,1.337,0.774,0.347,0.087,1.214,0.102,-0.024
212.610,-5.144,0.875,1.130,0.745,0.334,0.098,1.148,0.114,0.010
212.620,0.959,1.644,0.438,0.735,0.379,0.115,0.999,0.173,0.043
212.631,-0.017,0.385,-0.244,0.668,0.365,0.122,0.793,0.163,0.055
212.641,15.119,3.574,-0.629,0.724,0.456,0.136,0.747,0.248,0.064
212.652,3.278,6.392,-1.018,0.796,0.575,0.186,0.681,0.351,0.101
212.663,2.668,3.052,-0.959,0.800,0.576,0.231,0.668,0.333,0.130
212.673,-0.994,1.204,-0.153,0.787,0.522,0.240,0.739,0.269,0.131
212.684,1.447,-0.014,0.748,0.794,0.477,0.238,0.866,0.232,0.135
212.694,-4.046,0.625,0.615,0.811,0.521,0.246,0.820,0.287,0.157
212.704,-12.102,-1.158,-0.322,0.719,0.516,0.249,0.509,0.281,0.159
212.715,-7.586,-2.503,-0.609,0.670,0.485,0.227,0.403,0.241,0.129
212.725,-13.567,-4.914,-1.036,0.536,0.389,0.178,0.168,0.133,0.069
212.736,1.569,-5.867,-1.297,0.430,0.335,0.113,-0.078,0.063,-0.012
212.747,-10.882,-8.242,-1.008,0.307,0.197,0.027,-0.170,-0.086,-0.111
