R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,32.0,0.001000,0.003000,10,250,1,250,1,50,500,0,0
sysTime,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R
660.616,2.279,-0.628,-3.179,-3.284,-3.604
660.626,19.991,0.362,-2.618,-2.773,-3.466
660.636,38.420,0.710,-2.017,-2.169,-3.188
660.646,30.135,0.554,-1.336,-1.441,-2.779
660.657,-28.023,-2.109,-0.705,-0.655,-2.264
660.667,-40.233,-4.183,0.047,0.204,-1.662
660.677,-36.997,-4.515,0.929,1.087,-0.973
660.688,-25.304,-4.937,1.822,1.989,-0.219
660.698,5.444,-3.677,2.787,2.877,0.587
660.708,22.833,-3.047,3.675,3.716,1.406
660.719,12.972,-2.638,4.500,4.511,2.229
660.729,-17.416,-3.639,5.006,5.074,2.993
660.739,-5.234,-3.489,5.506,5.560,3.662
660.749,30.877,-2.676,5.882,5.873,4.250
660.761,41.271,-2.878,5.822,5.816,4.703
660.773,15.091,-3.094,5.487,5.497,4.888
660.784,-4.128,-2.577,4.998,4.994,4.862
660.796,-2.114,-1.957,4.367,4.326,4.634
660.808,-13.709,-2.071,3.534,3.492,4.193
660.819,10.798,-2.589,2.549,2.532,3.557
660.831,27.983,-2.775,1.637,1.636,2.823
660.843,17.545,-2.153,0.681,0.641,1.989
660.855,8.148,-1.314,-0.174,-0.270,1.136
660.866,-7.018,-0.751,-1.061,-1.188,0.269
660.878,-29.344,-0.831,-1.883,-1.989,-0.565
660.890,-46.468,-1.162,-2.595,-2.690,-1.375
660.900,-55.691,-1.688,-3.072,-3.131,-2.022
660.911,-49.396,-1.805,-3.388,-3.447,-2.616
660.923,-28.783,-1.373,-3.571,-3.684,-3.129
660.934,-3.435,-1.337,-3.602,-3.724,-3.493
660.945,16.914,-0.793,-3.382,-3.526,-3.711
660.957,16.066,-0.136,-2.826,-3.001,-3.727
660.968,5.947,-0.096,-1.926,-2.102,-3.489
660.980,12.510,-0.032,-0.663,-0.816,-2.950
660.991,-11.042,-0.563,0.964,0.847,-2.100
661.003,-43.086,-1.480,2.978,2.942,-0.906
661.015,-31.919,-2.385,5.299,5.322,0.627
661.026,-7.351,-2.852,7.988,8.030,2.480
661.038,-14.307,-3.027,10.957,11.002,4.659
661.049,-0.262,-2.625,14.124,14.146,7.153
661.061,21.508,-2.380,17.256,17.249,9.850
661.072,30.845,-1.372,20.373,20.300,12.682
661.084,-8.955,-0.437,23.259,23.173,15.583
661.096,-43.675,-0.003,25.653,25.599,18.389
661.107,-10.168,0.316,27.432,27.375,20.957
661.119,28.206,0.192,28.669,28.606,23.159
661.131,-0.392,-0.662,29.080,29.063,24.875
661.142,-17.153,-1.695,28.821,28.872,26.040
661.154,-19.798,-1.582,27.820,27.873,26.614
661.165,31.460,-1.057,26.272,26.277,26.572
661.177,-11.049,-1.038,24.064,24.070,25.912
661.188,10.109,-1.330,21.435,21.446,24.684
661.200,-13.520,-1.790,18.399,18.435,22.933
661.211,-7.541,-1.810,15.158,15.186,20.757
661.222,13.616,-1.973,11.882,11.957,18.269
661.234,42.856,-1.796,8.634,8.689,15.462
661.245,36.753,-1.410,5.459,5.492,12.547
661.256,27.046,-1.511,2.510,2.546,9.666
661.268,6.729,-1.757,-0.109,-0.067,6.795
661.279,1.430,-1.309,-2.386,-2.367,4.061
661.290,11.721,-0.423,-4.232,-4.267,1.557
661.302,-1.590,-0.338,-5.598,-5.637,-0.649
661.313,-12.022,-0.237,-6.371,-6.426,-2.428
661.323,0.074,0.404,-6.714,-6.806,-3.763
661.334,-24.869,0.279,-6.746,-6.807,-4.746
661.345,-6.697,0.811,-6.359,-6.447,-5.338
661.356,-4.282,0.779,-5.721,-5.807,-5.571
661.367,-13.516,0.454,-4.854,-4.916,-5.466
661.378,15.988,1.096,-3.776,-3.878,-5.075
661.389,11.275,1.617,-2.531,-2.663,-4.429
661.400,-3.079,1.516,-1.291,-1.414,-3.595
661.411,-16.319,0.927,-0.113,-0.201,-2.643
661.423,-31.368,-0.023,0.967,0.930,-1.634
661.434,-34.477,-1.004,1.933,1.936,-0.616
661.445,-33.150,-1.850,2.821,2.850,0.382
661.456,-25.604,-2.442,3.531,3.573,1.308
661.467,-19.486,-2.802,4.102,4.147,2.133
661.478,-17.163,-2.881,4.492,4.529,2.835
661.489,-0.652,-1.989,4.777,4.736,3.391
661.500,18.026,-0.965,4.816,4.705,3.795
661.511,30.741,0.190,4.635,4.449,4.032
661.522,38.772,1.281,4.329,4.074,4.097
661.533,52.256,2.307,3.902,3.562,4.007
661.544,55.342,3.106,3.355,2.925,3.773
661.555,38.859,3.802,2.695,2.211,3.395
661.566,25.844,4.717,1.891,1.360,2.879
661.577,15.640,4.433,1.004,0.494,2.257
661.588,15.883,4.264,0.143,-0.352,1.567
661.599,26.932,4.242,-0.642,-1.138,0.864
661.609,1.658,2.715,-1.456,-1.843,0.174
661.620,-37.477,-0.025,-2.283,-2.487,-0.525
661.630,-38.514,-1.298,-2.855,-2.996,-1.211
661.641,-31.328,-2.756,-3.294,-3.374,-1.814
661.651,-8.428,-2.831,-3.572,-3.668,-2.310
661.661,-28.082,-2.921,-3.747,-3.820,-2.718
661.671,6.016,-2.093,-3.737,-3.852,-3.017
661.683,12.212,-1.191,-3.478,-3.658,-3.205
661.694,4.034,-0.745,-3.072,-3.283,-3.174
661.706,-7.368,-0.312,-2.590,-2.833,-2.987
661.718,11.966,0.241,-1.926,-2.183,-2.655
661.729,33.806,0.708,-1.099,-1.377,-2.181
661.741,38.349,0.491,-0.275,-0.555,-1.580
661.753,11.396,0.126,0.572,0.293,-0.890
661.765,8.034,0.159,1.429,1.161,-0.112
661.775,-3.162,-0.321,2.111,1.899,0.557
661.785,-37.171,-0.695,2.763,2.602,1.235
661.796,-35.443,-0.662,3.448,3.314,1.992
661.808,-28.104,-0.696,4.090,3.958,2.736
661.819,-26.499,-1.393,4.644,4.536,3.420
661.831,-10.756,-2.148,4.998,4.930,4.038
661.842,9.289,-2.043,5.261,5.239,4.563
661.854,24.221,-1.801,5.628,5.610,5.019
661.866,42.227,-0.677,6.140,6.060,5.463
661.877,31.179,0.589,6.969,6.820,5.976
661.889,7.522,0.695,8.076,7.915,6.657
661.901,-24.109,0.645,9.641,9.491,7.563
661.912,-27.036,-0.515,11.519,11.423,8.752
661.924,-10.370,-0.985,13.718,13.643,10.179
661.935,14.726,-0.419,16.154,16.052,11.879
661.946,9.791,0.159,18.763,18.625,13.842
661.957,-13.718,-0.045,21.488,21.369,16.103
661.969,13.746,0.085,24.277,24.132,18.558
661.980,36.206,-0.562,26.647,26.526,21.028
661.992,46.926,-0.620,28.572,28.440,23.385
662.004,10.200,-2.038,29.808,29.728,25.502
662.016,-26.192,-1.817,30.247,30.145,27.149
662.027,-32.501,-1.613,29.781,29.691,28.216
662.039,21.197,-1.267,28.601,28.488,28.647
662.050,-8.878,-1.315,26.578,26.469,28.384
662.062,2.347,-1.283,23.945,23.832,27.441
662.073,-7.870,-0.885,20.768,20.625,25.839
662.084,19.528,-0.524,17.344,17.194,23.719
662.096,16.185,-0.319,13.669,13.496,21.045
662.107,-13.631,0.003,9.909,9.717,18.007
