R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha,FFDTermC,IRelaxR,IRelaxE,DmaxR,DmaxE,DMx,DMy
35,20,20,45,5,25,350,10,0,0,0,0,35,200,10,10.0,64.0,0.000100,0.003000,50,30,0,30,0,75,300,0,0,0.995,10.000,3000,300,300,100,25,25
sysTime,GRawXi,GPT1Xi133,GPT1Xi200,PIDRefX,PIDRefY,PIDRefZ,PIDSensX,PIDSensY,PIDSensZ
146.468,17,1,1,0.000,-0.297,0.000,-0.080,-0.962,-0.766
146.473,0,1,1,0.000,-0.297,0.000,0.684,-0.012,-0.682
146.479,5,0,0,0.000,-0.297,0.000,-0.064,1.134,-2.096
146.485,8,0,0,0.000,-0.297,0.000,-0.865,-0.755,-2.528
146.491,2,-1,-1,0.000,-0.297,0.000,-0.440,-0.355,-1.716
146.496,-11,-2,-2,0.000,-0.297,0.000,0.559,1.610,-1.952
146.502,-16,-3,-3,0.000,-0.297,0.000,2.625,1.326,-0.886
146.508,1,-1,-1,0.000,-0.297,0.000,1.904,2.427,-1.076
146.513,0,0,0,0.000,-0.297,0.000,0.790,1.620,-1.798
146.519,9,-1,0,0.000,-0.297,0.000,0.015,-0.416,-0.996
146.525,-9,-1,-1,0.000,-0.297,0.000,0.707,0.460,-0.690
146.531,11,-1,-1,0.000,-0.297,0.000,0.215,0.182,-0.262
146.536,0,0,0,0.000,-0.297,0.000,0.009,-0.573,-0.176
146.542,-8,-2,-2,0.000,-0.297,0.000,1.304,-0.897,0.493
146.548,11,0,0,0.000,-0.297,0.000,0.464,0.598,0.465
146.553,-6,-2,-2,0.000,-0.297,0.000,0.591,1.073,-0.894
146.559,-2,-1,-1,0.000,-0.297,0.000,-0.054,0.444,-0.787
146.565,3,-1,-1,0.000,-0.297,0.000,-0.343,0.118,-0.612
146.571,7,-1,-1,0.000,-0.446,0.000,-1.286,0.635,-0.306
146.577,-3,-2,-2,0.000,-0.446,0.000,-0.681,0.534,-1.573
146.583,5,-1,0,0.000,-0.446,0.000,-1.711,-0.327,-0.122
146.589,2,-1,-1,0.000,-0.446,0.000,-1.586,-0.797,0.506
146.595,-3,-1,-1,0.000,-0.446,0.000,-1.137,-0.665,1.352
146.601,-6,-1,-1,0.000,-0.446,0.000,-0.765,-1.371,1.114
146.607,12,0,0,0.000,-0.446,0.000,-1.392,-1.790,0.472
146.613,-8,-1,-1,0.000,-0.446,0.000,0.174,-0.539,2.200
146.619,0,-2,-2,0.000,-0.297,0.000,0.278,1.284,1.527
146.624,4,0,0,0.000,-0.297,0.000,-0.459,0.248,1.246
146.630,-1,-1,-1,0.000,-0.297,0.000,-0.244,0.987,1.669
146.636,-9,-1,-1,0.000,-0.297,0.000,0.625,-0.318,0.607
146.641,-1,-2,-2,0.000,-0.297,0.000,1.228,-0.280,0.590
146.647,14,0,1,0.000,-0.297,0.000,-0.088,-0.774,-0.144
146.653,-14,-2,-2,0.000,-0.297,0.000,1.957,1.770,0.489
146.659,8,0,0,0.000,-0.297,0.000,0.329,2.336,0.132
146.664,3,-1,-1,0.000,-0.297,0.000,0.241,1.789,0.157
146.670,3,0,0,0.000,-0.446,0.000,-0.156,1.345,-0.011
146.676,-8,-2,-2,0.000,-0.446,0.000,0.919,1.008,0.383
