R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,20,100,5,100,5,50,175,0,0,0.995
sysTime,GPT1X,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R
251.559,-15.519,0.117,-2.762,-2.115,-1.903,-3.029,-1.789
251.569,-10.328,0.102,-2.767,-2.108,-2.011,-3.013,-1.751
251.579,-7.229,0.315,-2.784,-2.126,-2.079,-2.971,-1.737
251.589,-3.509,-0.667,-2.833,-2.095,-2.118,-3.184,-1.683
251.599,1.084,-0.447,-2.712,-2.006,-2.118,-2.938,-1.580
251.609,5.548,-0.409,-2.601,-1.907,-2.079,-2.753,-1.465
251.619,8.659,-1.013,-2.479,-1.758,-1.997,-2.674,-1.311
251.629,12.663,-0.765,-2.254,-1.564,-1.881,-2.342,-1.116
251.639,15.653,-0.609,-2.070,-1.387,-1.735,-2.120,-0.938
251.651,15.844,-0.336,-1.867,-1.188,-1.538,-1.880,-0.739
251.661,18.034,-0.917,-1.705,-0.961,-1.357,-1.871,-0.517
251.671,19.323,-0.876,-1.462,-0.723,-1.155,-1.608,-0.295
251.681,18.383,-0.803,-1.297,-0.551,-0.962,-1.453,-0.138
251.691,19.650,-1.330,-1.117,-0.321,-0.766,-1.404,0.063
251.701,19.684,-0.930,-0.834,-0.078,-0.548,-1.023,0.278
251.713,20.996,-0.783,-0.549,0.198,-0.306,-0.724,0.520
251.725,21.529,-0.599,-0.290,0.459,-0.063,-0.480,0.747
251.736,20.790,-0.361,-0.066,0.667,0.165,-0.223,0.919
251.748,21.041,-0.073,0.201,0.890,0.399,0.146,1.109
251.760,22.563,-0.213,0.485,1.162,0.646,0.440,1.345
251.770,24.168,-0.534,0.707,1.394,0.868,0.614,1.541
251.780,22.131,-0.213,0.922,1.567,1.092,0.911,1.676
251.790,20.354,0.413,1.123,1.737,1.298,1.171,1.816
251.800,20.732,-0.126,1.299,1.964,1.503,1.191,2.009
