R
Px,Ix,Dx,Py,Iy,Dy,Pz,Iz,FFrx,FFry,FFdrx,FFdry,satI,satPID,DTermC,GparamC,AparamC,KFQAng,KFQbias,KFRmeas,CPx,CIx,CPy,CIy,CsatI,CsatPID,CFFdrx,CFFdry,CFalpha
175,25,1900,200,25,2100,500,150,0,0,0,0,7,75,10,10.0,64.0,0.000100,0.003000,30,60,15,60,15,50,175,0,0,0.995
sysTime,GPT1X,aRawR,aPT1R,aKFRawR,aKFPT10R,aKFPT11R,aCFRawR,aCFPT10R,aCFPT11R
145.548,1.642,-0.081,-0.078,-0.071,-0.063,-0.011,-0.056,-0.056,-0.059
145.559,1.419,-0.080,-0.082,-0.060,-0.051,0.002,-0.047,-0.045,-0.045
145.570,-0.098,0.085,-0.075,-0.077,-0.069,0.008,-0.064,-0.064,-0.040
145.580,0.884,-0.080,-0.070,-0.060,-0.052,0.010,-0.046,-0.048,-0.039
145.591,-0.847,-0.080,-0.060,-0.075,-0.068,0.012,-0.060,-0.065,-0.037
145.601,1.050,-0.164,-0.077,-0.042,-0.034,0.015,-0.033,-0.032,-0.035
145.612,1.264,0.044,-0.093,-0.031,-0.022,0.025,-0.028,-0.022,-0.027
145.622,0.076,-0.039,-0.089,-0.044,-0.034,0.031,-0.041,-0.037,-0.022
145.633,1.121,0.002,-0.088,-0.034,-0.025,0.033,-0.033,-0.029,-0.021
145.643,0.287,0.127,-0.078,-0.027,-0.018,0.042,-0.025,-0.025,-0.014
145.654,1.276,-0.081,-0.086,-0.006,0.002,0.049,-0.009,-0.006,-0.008
145.664,0.700,-0.080,-0.081,-0.013,-0.004,0.057,-0.016,-0.015,-0.002
145.675,0.921,-0.080,-0.079,-0.006,0.002,0.063,-0.011,-0.010,0.001
145.685,1.169,0.168,-0.069,0.021,0.030,0.076,0.016,0.013,0.012
145.696,1.635,-0.290,-0.072,0.059,0.068,0.096,0.050,0.048,0.029
145.706,1.367,-0.122,-0.081,0.078,0.087,0.112,0.062,0.063,0.043
145.717,0.791,-0.122,-0.080,0.061,0.070,0.119,0.042,0.043,0.047
145.728,0.605,0.044,-0.079,0.064,0.074,0.126,0.042,0.042,0.051
145.738,-0.056,-0.165,-0.084,0.056,0.066,0.128,0.029,0.031,0.050
145.749,-0.712,-0.205,-0.079,0.062,0.071,0.127,0.033,0.033,0.045
145.759,-0.874,-0.080,-0.086,0.036,0.046,0.115,0.002,0.005,0.030
145.770,-1.074,-0.164,-0.102,0.026,0.037,0.104,-0.013,-0.006,0.017
145.780,-0.380,-0.248,-0.098,0.024,0.035,0.094,-0.016,-0.010,0.005
145.791,1.074,0.253,-0.079,0.043,0.053,0.097,0.004,0.004,0.006
145.801,1.885,0.086,-0.077,0.077,0.087,0.111,0.036,0.035,0.018
145.812,1.171,-0.081,-0.083,0.076,0.086,0.125,0.030,0.031,0.030
145.823,1.565,-0.164,-0.089,0.094,0.105,0.138,0.044,0.046,0.040
145.833,2.376,-0.039,-0.088,0.115,0.126,0.155,0.061,0.063,0.054
145.844,1.594,-0.039,-0.076,0.114,0.123,0.173,0.059,0.057,0.069
145.854,-0.757,-0.039,-0.080,0.073,0.083,0.174,0.014,0.014,0.067
